,s,d,count,percent
120,6-7,300-310,3.0,0.0018181818181818182
121,6-7,310-320,4.0,0.0024242424242424242
122,6-7,320-330,11.0,0.006666666666666667
123,6-7,330-340,16.0,0.009696969696969697
124,6-7,340-350,11.0,0.006666666666666667
125,6-7,350-360,11.0,0.006666666666666667
126,7-8,180-190,0.0,0.0
127,7-8,190-200,1.0,0.0006060606060606061
128,7-8,200-210,1.0,0.0006060606060606061
129,7-8,210-220,1.0,0.0006060606060606061
130,7-8,220-230,4.0,0.0024242424242424242
131,7-8,230-240,2.0,0.0012121212121212121
132,7-8,240-250,2.0,0.0012121212121212121
133,7-8,250-260,2.0,0.0012121212121212121
134,7-8,260-270,2.0,0.0012121212121212121
135,7-8,270-280,4.0,0.0024242424242424242
136,7-8,280-290,0.0,0.0
137,7-8,290-300,1.0,0.0006060606060606061
138,7-8,300-310,2.0,0.0012121212121212121
139,7-8,310-320,1.0,0.0006060606060606061
140,7-8,320-330,2.0,0.0012121212121212121
141,7-8,330-340,12.0,0.007272727272727273
142,7-8,340-350,6.0,0.0036363636363636364
143,7-8,350-360,13.0,0.00787878787878788
144,8-9,180-190,0.0,0.0
145,8-9,190-200,3.0,0.0018181818181818182
146,8-9,200-210,2.0,0.0012121212121212121
147,8-9,210-220,0.0,0.0
148,8-9,220-230,0.0,0.0
149,8-9,230-240,1.0,0.0006060606060606061
150,8-9,240-250,1.0,0.0006060606060606061
151,8-9,250-260,2.0,0.0012121212121212121
152,8-9,260-270,2.0,0.0012121212121212121
153,8-9,270-280,3.0,0.0018181818181818182
154,8-9,280-290,1.0,0.0006060606060606061
155,8-9,290-300,0.0,0.0
156,8-9,300-310,1.0,0.0006060606060606061
157,8-9,310-320,0.0,0.0
158,8-9,320-330,0.0,0.0
159,8-9,330-340,4.0,0.0024242424242424242
160,8-9,340-350,9.0,0.005454545454545455
161,8-9,350-360,4.0,0.0024242424242424242
162,9-10,180-190,0.0,0.0
163,9-10,190-200,3.0,0.0018181818181818182
164,9-10,200-210,2.0,0.0012121212121212121
165,9-10,210-220,0.0,0.0
166,9-10,220-230,1.0,0.0006060606060606061
167,9-10,230-240,0.0,0.0
168,9-10,240-250,1.0,0.0006060606060606061
169,9-10,250-260,0.0,0.0
170,9-10,260-270,4.0,0.0024242424242424242
171,9-10,270-280,2.0,0.0012121212121212121
172,9-10,280-290,0.0,0.0
173,9-10,290-300,0.0,0.0
174,9-10,300-310,1.0,0.0006060606060606061
175,9-10,310-320,2.0,0.0012121212121212121
176,9-10,320-330,0.0,0.0
177,9-10,330-340,4.0,0.0024242424242424242
178,9-10,340-350,4.0,0.0024242424242424242
179,9-10,350-360,15.0,0.00909090909090909
180,10-11,180-190,0.0,0.0
181,10-11,190-200,2.0,0.0012121212121212121
182,10-11,200-210,0.0,0.0
183,10-11,210-220,2.0,0.0012121212121212121
184,10-11,220-230,0.0,0.0
185,10-11,230-240,0.0,0.0
186,10-11,240-250,1.0,0.0006060606060606061
187,10-11,250-260,5.0,0.0030303030303030303
188,10-11,260-270,3.0,0.0018181818181818182
189,10-11,270-280,1.0,0.0006060606060606061
190,10-11,280-290,2.0,0.0012121212121212121
191,10-11,290-300,1.0,0.0006060606060606061
192,10-11,300-310,1.0,0.0006060606060606061
193,10-11,310-320,1.0,0.0006060606060606061
194,10-11,320-330,0.0,0.0
195,10-11,330-340,1.0,0.0006060606060606061
196,10-11,340-350,2.0,0.0012121212121212121
197,10-11,350-360,10.0,0.006060606060606061
198,11-12,180-190,0.0,0.0
199,11-12,190-200,0.0,0.0
200,11-12,200-210,0.0,0.0
201,11-12,210-220,1.0,0.0006060606060606061
202,11-12,220-230,2.0,0.0012121212121212121
203,11-12,230-240,1.0,0.0006060606060606061
204,11-12,240-250,1.0,0.0006060606060606061
205,11-12,250-260,0.0,0.0
206,11-12,260-270,5.0,0.0030303030303030303
207,11-12,270-280,2.0,0.0012121212121212121
208,11-12,280-290,0.0,0.0
