,s,d,count,percent
119,3-4,110-120,17.0,0.005835907998626845
120,3-4,120-130,10.0,0.0034328870580157913
121,3-4,130-140,30.0,0.010298661174047374
122,3-4,140-150,36.0,0.012358393408856848
123,3-4,150-160,6.0,0.0020597322348094747
124,3-4,160-170,6.0,0.0020597322348094747
125,3-4,170-180,2.0,0.0006865774116031583
126,3-4,180-190,8.0,0.0027463096464126332
127,3-4,190-200,10.0,0.0034328870580157913
128,3-4,200-210,13.0,0.004462753175420529
129,3-4,210-220,12.0,0.004119464469618949
130,3-4,220-230,18.0,0.006179196704428424
131,3-4,230-240,23.0,0.00789564023343632
132,3-4,240-250,25.0,0.008582217645039478
133,3-4,250-260,23.0,0.00789564023343632
134,3-4,260-270,24.0,0.008238928939237899
135,3-4,270-280,18.0,0.006179196704428424
136,3-4,280-290,17.0,0.005835907998626845
137,3-4,290-300,26.0,0.008925506350841057
138,3-4,300-310,31.0,0.010641949879848954
139,3-4,310-320,22.0,0.007552351527634741
140,3-4,320-330,21.0,0.007209062821833162
141,3-4,330-340,15.0,0.005149330587023687
142,3-4,340-350,11.0,0.0037761757638173706
143,3-4,350-360,11.0,0.0037761757638173706
144,4-5,0-10,3.0,0.0010298661174047373
145,4-5,10-20,6.0,0.0020597322348094747
146,4-5,20-30,3.0,0.0010298661174047373
147,4-5,30-40,2.0,0.0006865774116031583
148,4-5,40-50,4.0,0.0013731548232063166
149,4-5,50-60,14.0,0.004806041881222108
150,4-5,60-70,36.0,0.012358393408856848
151,4-5,70-80,15.0,0.005149330587023687
152,4-5,80-90,7.0,0.002403020940611054
153,4-5,90-100,3.0,0.0010298661174047373
154,4-5,100-110,8.0,0.0027463096464126332
155,4-5,110-120,2.0,0.0006865774116031583
156,4-5,120-130,4.0,0.0013731548232063166
157,4-5,130-140,14.0,0.004806041881222108
158,4-5,140-150,20.0,0.006865774116031583
159,4-5,150-160,6.0,0.0020597322348094747
160,4-5,160-170,3.0,0.0010298661174047373
161,4-5,170-180,2.0,0.0006865774116031583
162,4-5,180-190,9.0,0.003089598352214212
163,4-5,190-200,6.0,0.0020597322348094747
164,4-5,200-210,8.0,0.0027463096464126332
165,4-5,210-220,10.0,0.0034328870580157913
166,4-5,220-230,20.0,0.006865774116031583
167,4-5,230-240,11.0,0.0037761757638173706
168,4-5,240-250,20.0,0.006865774116031583
169,4-5,250-260,32.0,0.010985238585650533
170,4-5,260-270,30.0,0.010298661174047374
171,4-5,270-280,20.0,0.006865774116031583
172,4-5,280-290,24.0,0.008238928939237899
173,4-5,290-300,31.0,0.010641949879848954
174,4-5,300-310,28.0,0.009612083762444216
175,4-5,310-320,30.0,0.010298661174047374
176,4-5,320-330,26.0,0.008925506350841057
177,4-5,330-340,24.0,0.008238928939237899
178,4-5,340-350,12.0,0.004119464469618949
179,4-5,350-360,5.0,0.0017164435290078957
180,5-6,0-10,4.0,0.0013731548232063166
181,5-6,10-20,2.0,0.0006865774116031583
182,5-6,20-30,2.0,0.0006865774116031583
183,5-6,30-40,1.0,0.00034328870580157915
184,5-6,40-50,3.0,0.0010298661174047373
185,5-6,50-60,5.0,0.0017164435290078957
186,5-6,60-70,23.0,0.00789564023343632
187,5-6,70-80,5.0,0.0017164435290078957
188,5-6,80-90,4.0,0.0013731548232063166
189,5-6,90-100,1.0,0.00034328870580157915
190,5-6,100-110,0.0,0.0
191,5-6,110-120,0.0,0.0
192,5-6,120-130,0.0,0.0
193,5-6,130-140,3.0,0.0010298661174047373
194,5-6,140-150,9.0,0.003089598352214212
195,5-6,150-160,4.0,0.0013731548232063166
196,5-6,160-170,1.0,0.00034328870580157915
197,5-6,170-180,3.0,0.0010298661174047373
198,5-6,180-190,8.0,0.0027463096464126332
199,5-6,190-200,5.0,0.0017164435290078957
200,5-6,200-210,3.0,0.0010298661174047373
201,5-6,210-220,7.0,0.002403020940611054
202,5-6,220-230,6.0,0.0020597322348094747
203,5-6,230-240,15.0,0.005149330587023687
204,5-6,240-250,10.0,0.0034328870580157913
205,5-6,250-260,10.0,0.0034328870580157913
206,5-6,260-270,13.0,0.004462753175420529
207,5-6,270-280,13.0,0.004462753175420529
208,5-6,280-290,13.0,0.004462753175420529
209,5-6,290-300,11.0,0.0037761757638173706
210,5-6,300-310,18.0,0.006179196704428424
211,5-6,310-320,18.0,0.006179196704428424
212,5-6,320-330,32.0,0.010985238585650533
213,5-6,330-340,19.0,0.006522485410230003
214,5-6,340-350,18.0,0.006179196704428424
215,5-6,350-360,8.0,0.0027463096464126332
216,6-7,0-10,5.0,0.0017164435290078957
217,6-7,10-20,3.0,0.0010298661174047373
218,6-7,20-30,1.0,0.00034328870580157915
219,6-7,30-40,0.0,0.0
220,6-7,40-50,1.0,0.00034328870580157915
221,6-7,50-60,5.0,0.0017164435290078957
222,6-7,60-70,13.0,0.004462753175420529
223,6-7,70-80,3.0,0.0010298661174047373
224,6-7,80-90,0.0,0.0
225,6-7,90-100,0.0,0.0
226,6-7,100-110,0.0,0.0
227,6-7,110-120,0.0,0.0
228,6-7,120-130,0.0,0.0
229,6-7,130-140,2.0,0.0006865774116031583
230,6-7,140-150,8.0,0.0027463096464126332
231,6-7,150-160,7.0,0.002403020940611054
232,6-7,160-170,3.0,0.0010298661174047373
233,6-7,170-180,5.0,0.0017164435290078957
234,6-7,180-190,0.0,0.0
235,6-7,190-200,1.0,0.00034328870580157915
236,6-7,200-210,2.0,0.0006865774116031583
237,6-7,210-220,2.0,0.0006865774116031583
238,6-7,220-230,3.0,0.0010298661174047373
239,6-7,230-240,4.0,0.0013731548232063166
240,6-7,240-250,5.0,0.0017164435290078957
241,6-7,250-260,4.0,0.0013731548232063166
242,6-7,260-270,7.0,0.002403020940611054
243,6-7,270-280,8.0,0.0027463096464126332
244,6-7,280-290,4.0,0.0013731548232063166
