0-1,100.0,20
0-1,110.0,16
0-1,120.0,13
0-1,90.0,11
0-1,60.0,10
0-1,50.0,9
0-1,80.0,8
0-1,70.0,7
0-1,130.0,5
0-1,240.0,5
0-1,280.0,5
0-1,30.0,4
0-1,140.0,4
0-1,210.0,3
0-1,310.0,3
0-1,20.0,2
0-1,40.0,2
0-1,150.0,2
0-1,170.0,2
0-1,190.0,2
0-1,220.0,2
0-1,230.0,2
0-1,250.0,2
0-1,260.0,2
0-1,270.0,2
0-1,340.0,2
0-1,350.0,2
0-1,10.0,1
0-1,160.0,1
0-1,180.0,1
0-1,200.0,1
0-1,290.0,1
0-1,300.0,1
0-1,320.0,1
1-2,120.0,42
1-2,100.0,40
1-2,110.0,28
1-2,80.0,25
1-2,70.0,20
1-2,130.0,20
1-2,90.0,19
1-2,140.0,16
1-2,60.0,13
1-2,50.0,12
1-2,250.0,11
1-2,220.0,10
1-2,270.0,10
1-2,150.0,9
1-2,160.0,9
1-2,210.0,9
1-2,240.0,9
1-2,260.0,9
1-2,290.0,9
1-2,310.0,9
1-2,40.0,8
1-2,30.0,7
1-2,280.0,7
1-2,320.0,7
1-2,190.0,6
1-2,330.0,6
1-2,10.0,5
1-2,200.0,5
1-2,230.0,5
1-2,340.0,5
1-2,350.0,5
1-2,360.0,5
1-2,170.0,4
1-2,20.0,2
1-2,180.0,2
1-2,300.0,1
2-3,120.0,41
2-3,110.0,38
2-3,60.0,30
2-3,70.0,29
2-3,280.0,25
2-3,310.0,25
2-3,80.0,24
2-3,270.0,24
2-3,150.0,22
2-3,260.0,20
2-3,100.0,19
2-3,290.0,18
2-3,130.0,17
2-3,300.0,17
2-3,90.0,16
2-3,330.0,16
2-3,50.0,15
2-3,240.0,15
2-3,250.0,13
2-3,220.0,12
2-3,230.0,12
2-3,320.0,12
2-3,200.0,11
2-3,210.0,11
2-3,340.0,10
2-3,140.0,9
2-3,20.0,7
2-3,160.0,7
2-3,170.0,7
2-3,350.0,7
2-3,10.0,6
2-3,30.0,6
2-3,190.0,6
2-3,40.0,5
2-3,360.0,5
2-3,180.0,2
3-4,70.0,36
3-4,150.0,36
3-4,310.0,31
3-4,140.0,30
3-4,300.0,26
3-4,250.0,25
3-4,110.0,24
3-4,270.0,24
3-4,240.0,23
3-4,260.0,23
3-4,320.0,22
3-4,60.0,21
3-4,330.0,21
3-4,230.0,18
3-4,280.0,18
3-4,120.0,17
3-4,290.0,17
3-4,340.0,15
3-4,80.0,13
3-4,210.0,13
3-4,90.0,12
3-4,220.0,12
3-4,350.0,11
3-4,360.0,11
3-4,130.0,10
3-4,200.0,10
3-4,190.0,8
3-4,20.0,7
3-4,30.0,7
3-4,100.0,6
3-4,160.0,6
3-4,170.0,6
3-4,40.0,5
3-4,10.0,4
3-4,50.0,4
3-4,180.0,2
4-5,70.0,36
4-5,260.0,32
4-5,300.0,31
4-5,270.0,30
4-5,320.0,30
4-5,310.0,28
4-5,330.0,26
4-5,290.0,24
4-5,340.0,24
4-5,150.0,20
4-5,230.0,20
4-5,250.0,20
4-5,280.0,20
4-5,80.0,15
4-5,60.0,14
4-5,140.0,14
4-5,350.0,12
4-5,240.0,11
4-5,220.0,10
4-5,190.0,9
4-5,110.0,8
4-5,210.0,8
4-5,90.0,7
4-5,20.0,6
4-5,160.0,6
4-5,200.0,6
4-5,360.0,5
4-5,50.0,4
4-5,130.0,4
4-5,10.0,3
4-5,30.0,3
4-5,100.0,3
4-5,170.0,3
4-5,40.0,2
4-5,120.0,2
4-5,180.0,2
5-6,330.0,32
5-6,70.0,23
5-6,340.0,19
5-6,310.0,18
5-6,320.0,18
5-6,350.0,18
5-6,240.0,15
5-6,270.0,13
5-6,280.0,13
5-6,290.0,13
5-6,300.0,11
5-6,250.0,10
5-6,260.0,10
5-6,150.0,9
5-6,190.0,8
5-6,360.0,8
5-6,220.0,7
5-6,230.0,6
5-6,60.0,5
5-6,80.0,5
5-6,200.0,5
5-6,10.0,4
5-6,90.0,4
5-6,160.0,4
5-6,50.0,3
5-6,140.0,3
5-6,180.0,3
5-6,210.0,3
5-6,20.0,2
5-6,30.0,2
5-6,40.0,1
5-6,100.0,1
5-6,170.0,1
6-7,340.0,16
6-7,70.0,13
6-7,330.0,11
6-7,350.0,11
6-7,360.0,11
6-7,150.0,8
6-7,280.0,8
6-7,160.0,7
6-7,270.0,7
6-7,300.0,6
6-7,10.0,5
6-7,60.0,5
6-7,180.0,5
6-7,250.0,5
6-7,240.0,4
6-7,260.0,4
6-7,290.0,4
6-7,320.0,4
6-7,20.0,3
6-7,80.0,3
6-7,170.0,3
6-7,230.0,3
6-7,310.0,3
6-7,140.0,2
6-7,210.0,2
6-7,220.0,2
6-7,30.0,1
6-7,50.0,1
6-7,200.0,1
7-8,360.0,13
7-8,340.0,12
7-8,350.0,6
7-8,10.0,5
7-8,70.0,5
7-8,230.0,4
7-8,280.0,4
7-8,20.0,2
7-8,60.0,2
7-8,160.0,2
7-8,240.0,2
7-8,250.0,2
7-8,260.0,2
7-8,270.0,2
7-8,310.0,2
7-8,330.0,2
7-8,180.0,1
7-8,200.0,1
7-8,210.0,1
7-8,220.0,1
7-8,300.0,1
7-8,320.0,1
8-9,350.0,9
8-9,10.0,4
8-9,340.0,4
8-9,360.0,4
8-9,200.0,3
8-9,280.0,3
8-9,210.0,2
8-9,260.0,2
8-9,270.0,2
8-9,180.0,1
8-9,240.0,1
8-9,250.0,1
8-9,290.0,1
8-9,310.0,1
9-10,360.0,15
9-10,270.0,4
9-10,340.0,4
9-10,350.0,4
9-10,200.0,3
9-10,170.0,2
9-10,210.0,2
9-10,280.0,2
9-10,320.0,2
9-10,10.0,1
9-10,20.0,1
9-10,70.0,1
9-10,150.0,1
9-10,160.0,1
9-10,230.0,1
9-10,250.0,1
9-10,310.0,1
10-11,360.0,10
10-11,10.0,6
10-11,260.0,5
10-11,270.0,3
10-11,180.0,2
10-11,200.0,2
10-11,220.0,2
10-11,290.0,2
10-11,350.0,2
10-11,70.0,1
10-11,250.0,1
10-11,280.0,1
