Variable,date,Hour,Value
speed,11-01-2015,14:00,6
direction,11-01-2015,14:00,10
speed,11-01-2015,17:00,5
direction,11-01-2015,17:00,30
speed,11-01-2015,20:00,4
direction,11-01-2015,20:00,70
speed,11-01-2015,23:00,3.5
direction,11-01-2015,23:00,70
speed,12-01-2015,02:00,4.5
direction,12-01-2015,02:00,70
speed,12-01-2015,05:00,4.5
direction,12-01-2015,05:00,80
speed,12-01-2015,08:00,4.5
direction,12-01-2015,08:00,80
speed,12-01-2015,11:00,4
direction,12-01-2015,11:00,90
speed,12-01-2015,14:00,5
direction,12-01-2015,14:00,90
speed,12-01-2015,17:00,4.5
direction,12-01-2015,17:00,70
speed,12-01-2015,20:00,3.5
direction,12-01-2015,20:00,60
speed,12-01-2015,23:00,3.5
direction,12-01-2015,23:00,80
speed,13-01-2015,02:00,5.5
direction,13-01-2015,02:00,80
speed,13-01-2015,05:00,5
direction,13-01-2015,05:00,70
speed,13-01-2015,08:00,5.5
direction,13-01-2015,08:00,70
speed,13-01-2015,11:00,7
direction,13-01-2015,11:00,70
speed,13-01-2015,14:00,6
direction,13-01-2015,14:00,70
speed,13-01-2015,17:00,4
direction,13-01-2015,17:00,80
speed,13-01-2015,20:00,4.5
direction,13-01-2015,20:00,80
speed,13-01-2015,23:00,5
direction,13-01-2015,23:00,80
speed,14-01-2015,02:00,3.5
direction,14-01-2015,02:00,70
speed,14-01-2015,05:00,5
direction,14-01-2015,05:00,80
speed,14-01-2015,08:00,4.5
direction,14-01-2015,08:00,80
speed,14-01-2015,11:00,2
direction,14-01-2015,11:00,120
speed,14-01-2015,14:00,3
direction,14-01-2015,14:00,110
speed,14-01-2015,17:00,3.5
direction,14-01-2015,17:00,260
speed,14-01-2015,20:00,1.5
direction,14-01-2015,20:00,110
speed,14-01-2015,23:00,1
direction,14-01-2015,23:00,60
speed,15-01-2015,02:00,2.5
direction,15-01-2015,02:00,170
speed,15-01-2015,05:00,3.5
direction,15-01-2015,05:00,120
speed,15-01-2015,08:00,6.5
direction,15-01-2015,08:00,150
speed,15-01-2015,11:00,7
direction,15-01-2015,11:00,180
speed,15-01-2015,14:00,7.5
direction,15-01-2015,14:00,180
speed,15-01-2015,17:00,6
direction,15-01-2015,17:00,250
speed,15-01-2015,20:00,4.5
direction,15-01-2015,20:00,140
speed,15-01-2015,23:00,3.5
