Variable,date,Hour,Value
direction,22-02-2015,14:00,320
speed,22-02-2015,17:00,5
direction,22-02-2015,17:00,20
speed,22-02-2015,20:00,2.5
direction,22-02-2015,20:00,70
speed,22-02-2015,23:00,2.5
direction,22-02-2015,23:00,50
speed,23-02-2015,02:00,4
direction,23-02-2015,02:00,70
speed,23-02-2015,05:00,3.5
direction,23-02-2015,05:00,70
speed,23-02-2015,08:00,4
direction,23-02-2015,08:00,80
speed,23-02-2015,11:00,5.5
direction,23-02-2015,11:00,70
speed,23-02-2015,14:00,3
direction,23-02-2015,14:00,90
speed,23-02-2015,17:00,3.5
direction,23-02-2015,17:00,70
speed,23-02-2015,20:00,1.5
direction,23-02-2015,20:00,80
speed,23-02-2015,23:00,3
direction,23-02-2015,23:00,60
speed,24-02-2015,02:00,4.5
direction,24-02-2015,02:00,70
speed,24-02-2015,05:00,5
direction,24-02-2015,05:00,70
speed,24-02-2015,08:00,6
direction,24-02-2015,08:00,80
speed,24-02-2015,11:00,4.5
direction,24-02-2015,11:00,90
speed,24-02-2015,14:00,4
direction,24-02-2015,14:00,60
speed,24-02-2015,17:00,2.5
direction,24-02-2015,17:00,270
speed,24-02-2015,20:00,3
direction,24-02-2015,20:00,150
speed,24-02-2015,23:00,7.5
direction,24-02-2015,23:00,230
speed,25-02-2015,02:00,5
direction,25-02-2015,02:00,250
speed,25-02-2015,05:00,3
direction,25-02-2015,05:00,170
speed,25-02-2015,08:00,4.5
direction,25-02-2015,08:00,160
speed,25-02-2015,11:00,5
direction,25-02-2015,11:00,200
speed,25-02-2015,14:00,3.5
direction,25-02-2015,14:00,230
speed,25-02-2015,17:00,2.5
direction,25-02-2015,17:00,260
speed,25-02-2015,20:00,1
direction,25-02-2015,20:00,80
speed,25-02-2015,23:00,2
direction,25-02-2015,23:00,90
speed,26-02-2015,02:00,3
direction,26-02-2015,02:00,70
speed,26-02-2015,05:00,2.5
direction,26-02-2015,05:00,90
speed,26-02-2015,08:00,5
direction,26-02-2015,08:00,70
speed,26-02-2015,11:00,6
direction,26-02-2015,11:00,90
speed,26-02-2015,14:00,4.5
direction,26-02-2015,14:00,110
speed,26-02-2015,17:00,4
direction,26-02-2015,17:00,60
speed,26-02-2015,20:00,3.5
direction,26-02-2015,20:00,60
speed,26-02-2015,23:00,4
direction,26-02-2015,23:00,70
speed,27-02-2015,02:00,5
direction,27-02-2015,02:00,70
speed,27-02-2015,05:00,6
direction,27-02-2015,05:00,70
speed,27-02-2015,08:00,7
direction,27-02-2015,08:00,70
speed,27-02-2015,11:00,6
direction,27-02-2015,11:00,90
speed,27-02-2015,14:00,4
direction,27-02-2015,14:00,100
speed,27-02-2015,17:00,1
direction,27-02-2015,17:00,50
speed,27-02-2015,20:00,2.5
direction,27-02-2015,20:00,80
speed,27-02-2015,23:00,0.5
direction,27-02-2015,23:00,130
speed,28-02-2015,02:00,1.5
direction,28-02-2015,02:00,110
speed,28-02-2015,05:00,7
direction,28-02-2015,05:00,330
speed,28-02-2015,08:00,5
direction,28-02-2015,08:00,300
speed,28-02-2015,11:00,5.5
direction,28-02-2015,11:00,290
speed,28-02-2015,14:00,4
direction,28-02-2015,14:00,280
speed,28-02-2015,17:00,3
direction,28-02-2015,17:00,270
speed,28-02-2015,20:00,3.5
direction,28-02-2015,20:00,290
speed,28-02-2015,23:00,2
direction,28-02-2015,23:00,120
speed,01-03-2015,02:00,2
direction,01-03-2015,02:00,130
speed,01-03-2015,05:00,2
direction,01-03-2015,05:00,120
speed,01-03-2015,08:00,3.5
direction,01-03-2015,08:00,150
speed,01-03-2015,11:00,3.5
direction,01-03-2015,11:00,220
speed,01-03-2015,14:00,4
direction,01-03-2015,14:00,260
speed,01-03-2015,17:00,5
direction,01-03-2015,17:00,310
speed,01-03-2015,20:00,5.5
direction,01-03-2015,20:00,310
speed,01-03-2015,23:00,5
direction,01-03-2015,23:00,290
speed,02-03-2015,02:00,4.5
direction,02-03-2015,02:00,300
speed,02-03-2015,05:00,4.5
direction,02-03-2015,05:00,290
speed,02-03-2015,08:00,2
direction,02-03-2015,08:00,120
speed,02-03-2015,11:00,3.5
direction,02-03-2015,11:00,240
speed,02-03-2015,14:00,6
direction,02-03-2015,14:00,280
speed,02-03-2015,17:00,4.5
direction,02-03-2015,17:00,300
speed,02-03-2015,20:00,3.5
direction,02-03-2015,20:00,270
speed,02-03-2015,23:00,4
direction,02-03-2015,23:00,260
speed,03-03-2015,02:00,3.5
direction,03-03-2015,02:00,260
speed,03-03-2015,05:00,3.5
direction,03-03-2015,05:00,150
speed,03-03-2015,08:00,3.5
direction,03-03-2015,08:00,170
speed,03-03-2015,11:00,5
direction,03-03-2015,11:00,210
speed,03-03-2015,14:00,3.5
direction,03-03-2015,14:00,250
speed,03-03-2015,17:00,3.5
direction,03-03-2015,17:00,250
speed,03-03-2015,20:00,4.5
direction,03-03-2015,20:00,220
speed,03-03-2015,23:00,6.5
direction,03-03-2015,23:00,280
speed,04-03-2015,02:00,7
direction,04-03-2015,02:00,260
speed,04-03-2015,05:00,4
direction,04-03-2015,05:00,300
speed,04-03-2015,08:00,4
direction,04-03-2015,08:00,230
speed,04-03-2015,11:00,3
direction,04-03-2015,11:00,290
speed,04-03-2015,14:00,4.5
direction,04-03-2015,14:00,290
speed,04-03-2015,17:00,4.5
direction,04-03-2015,17:00,310
speed,04-03-2015,20:00,2.5
direction,04-03-2015,20:00,310
speed,04-03-2015,23:00,1
direction,04-03-2015,23:00,120
speed,05-03-2015,02:00,2
direction,05-03-2015,02:00,140
speed,05-03-2015,05:00,1
direction,05-03-2015,05:00,100
speed,05-03-2015,08:00,1.5
direction,05-03-2015,08:00,110
speed,05-03-2015,11:00,5
direction,05-03-2015,11:00,50
speed,05-03-2015,14:00,10
direction,05-03-2015,14:00,360
speed,05-03-2015,17:00,12.5
direction,05-03-2015,17:00,360
speed,05-03-2015,20:00,5.5
direction,05-03-2015,20:00,30
speed,05-03-2015,23:00,2
direction,05-03-2015,23:00,60
speed,06-03-2015,02:00,6
direction,06-03-2015,02:00,60
speed,06-03-2015,05:00,6
direction,06-03-2015,05:00,60
speed,06-03-2015,08:00,6.5
direction,06-03-2015,08:00,70
speed,06-03-2015,11:00,5.5
direction,06-03-2015,11:00,90
speed,06-03-2015,14:00,5
direction,06-03-2015,14:00,110
speed,06-03-2015,17:00,5
direction,06-03-2015,17:00,60
speed,06-03-2015,20:00,4.5
direction,06-03-2015,20:00,60
speed,06-03-2015,23:00,4
direction,06-03-2015,23:00,70
speed,07-03-2015,02:00,5
direction,07-03-2015,02:00,80
speed,07-03-2015,05:00,6.5
direction,07-03-2015,05:00,70
speed,07-03-2015,08:00,7.5
direction,07-03-2015,08:00,70
speed,07-03-2015,11:00,5
direction,07-03-2015,11:00,90
speed,07-03-2015,14:00,5
direction,07-03-2015,14:00,90
speed,07-03-2015,17:00,4.5
direction,07-03-2015,17:00,60
speed,07-03-2015,20:00,2
direction,07-03-2015,20:00,40
speed,07-03-2015,23:00,2.5
direction,07-03-2015,23:00,90
speed,08-03-2015,02:00,3
direction,08-03-2015,02:00,70
speed,08-03-2015,05:00,1.5
direction,08-03-2015,05:00,150
speed,08-03-2015,08:00,1.5
direction,08-03-2015,08:00,140
speed,08-03-2015,11:00,3
direction,08-03-2015,11:00,240
speed,08-03-2015,14:00,3
direction,08-03-2015,14:00,200
speed,08-03-2015,17:00,1.5
direction,08-03-2015,17:00,360
speed,08-03-2015,20:00,1
direction,08-03-2015,20:00,310
speed,08-03-2015,23:00,2
direction,08-03-2015,23:00,120
speed,09-03-2015,02:00,2.5
direction,09-03-2015,02:00,70
speed,09-03-2015,05:00,1
direction,09-03-2015,05:00,90
speed,09-03-2015,08:00,1.5
direction,09-03-2015,08:00,30
speed,09-03-2015,11:00,4.5
direction,09-03-2015,11:00,310
speed,09-03-2015,14:00,4.5
direction,09-03-2015,14:00,340
speed,09-03-2015,17:00,7
direction,09-03-2015,17:00,10
speed,09-03-2015,20:00,2
direction,09-03-2015,20:00,190
speed,09-03-2015,23:00,1.5
direction,09-03-2015,23:00,80
speed,10-03-2015,02:00,0.5
direction,10-03-2015,02:00,220
speed,10-03-2015,05:00,0.5
direction,10-03-2015,05:00,70
speed,10-03-2015,08:00,2.5
direction,10-03-2015,08:00,150
speed,10-03-2015,11:00,3
direction,10-03-2015,11:00,200
speed,10-03-2015,14:00,3.5
direction,10-03-2015,14:00,230
speed,10-03-2015,17:00,1.5
direction,10-03-2015,17:00,290
speed,10-03-2015,20:00,1.5
direction,10-03-2015,20:00,50
speed,10-03-2015,23:00,4
direction,10-03-2015,23:00,80
speed,11-03-2015,02:00,3
direction,11-03-2015,02:00,10
speed,11-03-2015,05:00,10
direction,11-03-2015,05:00,350
speed,11-03-2015,08:00,10.5
direction,11-03-2015,08:00,360
speed,11-03-2015,11:00,13.5
direction,11-03-2015,11:00,360
speed,11-03-2015,14:00,14
direction,11-03-2015,14:00,360
speed,11-03-2015,17:00,14
direction,11-03-2015,17:00,360
speed,11-03-2015,20:00,8.5
direction,11-03-2015,20:00,10
speed,11-03-2015,23:00,7.5
direction,11-03-2015,23:00,20
speed,12-03-2015,02:00,13
direction,12-03-2015,02:00,340
speed,12-03-2015,05:00,14.5
direction,12-03-2015,05:00,330
speed,12-03-2015,08:00,1.5
direction,12-03-2015,08:00,90
speed,12-03-2015,11:00,5.5
direction,12-03-2015,11:00,220
speed,12-03-2015,14:00,4
direction,12-03-2015,14:00,230
speed,12-03-2015,17:00,4.5
direction,12-03-2015,17:00,250
speed,12-03-2015,20:00,4
direction,12-03-2015,20:00,230
speed,12-03-2015,23:00,4
direction,12-03-2015,23:00,150
speed,13-03-2015,02:00,4
direction,13-03-2015,02:00,140
speed,13-03-2015,05:00,3.5
direction,13-03-2015,05:00,140
speed,13-03-2015,08:00,3.5
direction,13-03-2015,08:00,140
speed,13-03-2015,11:00,3.5
direction,13-03-2015,11:00,240
speed,13-03-2015,14:00,5
direction,13-03-2015,14:00,280
speed,13-03-2015,17:00,6
direction,13-03-2015,17:00,350
speed,13-03-2015,20:00,4
direction,13-03-2015,20:00,20
speed,13-03-2015,23:00,1.5
direction,13-03-2015,23:00,70
speed,14-03-2015,02:00,1.5
direction,14-03-2015,02:00,70
speed,14-03-2015,05:00,0.5
direction,14-03-2015,05:00,80
speed,14-03-2015,08:00,1
direction,14-03-2015,08:00,260
speed,14-03-2015,11:00,3
direction,14-03-2015,11:00,280
speed,14-03-2015,14:00,6
direction,14-03-2015,14:00,320
speed,14-03-2015,17:00,6.5
direction,14-03-2015,17:00,350
speed,14-03-2015,20:00,5.5
direction,14-03-2015,20:00,350
speed,14-03-2015,23:00,0.5
direction,14-03-2015,23:00,110
speed,15-03-2015,02:00,1.5
direction,15-03-2015,02:00,120
speed,15-03-2015,05:00,2.5
direction,15-03-2015,05:00,130
speed,15-03-2015,08:00,3
direction,15-03-2015,08:00,150
speed,15-03-2015,11:00,4
direction,15-03-2015,11:00,220
speed,15-03-2015,14:00,6
direction,15-03-2015,14:00,330
speed,15-03-2015,17:00,5.5
direction,15-03-2015,17:00,330
speed,15-03-2015,20:00,6
direction,15-03-2015,20:00,330
speed,15-03-2015,23:00,6
direction,15-03-2015,23:00,310
speed,16-03-2015,02:00,6.5
direction,16-03-2015,02:00,310
speed,16-03-2015,05:00,2.5
direction,16-03-2015,05:00,310
speed,16-03-2015,08:00,1
direction,16-03-2015,08:00,130
speed,16-03-2015,11:00,3
direction,16-03-2015,11:00,310
speed,16-03-2015,14:00,5.5
direction,16-03-2015,14:00,310
speed,16-03-2015,17:00,5
direction,16-03-2015,17:00,340
speed,16-03-2015,20:00,5
direction,16-03-2015,20:00,350
speed,16-03-2015,23:00,0.5
direction,16-03-2015,23:00,110
speed,17-03-2015,02:00,1
direction,17-03-2015,02:00,120
speed,17-03-2015,05:00,1.5
direction,17-03-2015,05:00,120
speed,17-03-2015,08:00,2
direction,17-03-2015,08:00,140
speed,17-03-2015,11:00,3
direction,17-03-2015,11:00,270
speed,17-03-2015,14:00,5
direction,17-03-2015,14:00,340
speed,17-03-2015,17:00,7.5
direction,17-03-2015,17:00,350
speed,17-03-2015,20:00,7.5
direction,17-03-2015,20:00,360
speed,17-03-2015,23:00,2.5
direction,17-03-2015,23:00,50
speed,18-03-2015,02:00,1.5
direction,18-03-2015,02:00,80
speed,18-03-2015,05:00,0.5
direction,18-03-2015,05:00,90
speed,18-03-2015,08:00,3.5
direction,18-03-2015,08:00,40
speed,18-03-2015,11:00,6.5
direction,18-03-2015,11:00,340
speed,18-03-2015,14:00,10
direction,18-03-2015,14:00,360
speed,18-03-2015,17:00,10
direction,18-03-2015,17:00,360
speed,18-03-2015,20:00,6.5
direction,18-03-2015,20:00,340
speed,18-03-2015,23:00,3.5
direction,18-03-2015,23:00,340
speed,19-03-2015,02:00,0.5
direction,19-03-2015,02:00,180
speed,19-03-2015,05:00,4.5
direction,19-03-2015,05:00,290
speed,19-03-2015,08:00,3.5
direction,19-03-2015,08:00,300
speed,19-03-2015,11:00,4
direction,19-03-2015,11:00,260
speed,19-03-2015,14:00,3.5
direction,19-03-2015,14:00,250
speed,19-03-2015,17:00,7
direction,19-03-2015,17:00,300
speed,19-03-2015,20:00,5
direction,19-03-2015,20:00,280
speed,19-03-2015,23:00,4.5
direction,19-03-2015,23:00,250
speed,20-03-2015,02:00,6.5
direction,20-03-2015,02:00,270
speed,20-03-2015,05:00,5
direction,20-03-2015,05:00,260
speed,20-03-2015,08:00,6
direction,20-03-2015,08:00,240
speed,20-03-2015,11:00,6
direction,20-03-2015,11:00,250
speed,20-03-2015,14:00,6.5
direction,20-03-2015,14:00,260
speed,20-03-2015,17:00,7
direction,20-03-2015,17:00,270
speed,20-03-2015,20:00,3.5
direction,20-03-2015,20:00,250
speed,20-03-2015,23:00,4.5
direction,20-03-2015,23:00,260
speed,21-03-2015,02:00,4.5
direction,21-03-2015,02:00,250
speed,21-03-2015,05:00,5
direction,21-03-2015,05:00,150
speed,21-03-2015,08:00,6.5
direction,21-03-2015,08:00,170
speed,21-03-2015,11:00,8.5
direction,21-03-2015,11:00,200
speed,21-03-2015,14:00,12
direction,21-03-2015,14:00,270
speed,21-03-2015,17:00,11.5
direction,21-03-2015,17:00,300
speed,21-03-2015,20:00,11
direction,21-03-2015,20:00,290
speed,21-03-2015,23:00,9.5
direction,21-03-2015,23:00,270
speed,22-03-2015,02:00,9.5
direction,22-03-2015,02:00,280
speed,22-03-2015,05:00,9.5
direction,22-03-2015,05:00,270
speed,22-03-2015,08:00,8.5
direction,22-03-2015,08:00,260
speed,22-03-2015,11:00,8
direction,22-03-2015,11:00,280
speed,22-03-2015,14:00,5.5
direction,22-03-2015,14:00,310
speed,22-03-2015,17:00,7
direction,22-03-2015,17:00,280
speed,22-03-2015,20:00,4
direction,22-03-2015,20:00,270
speed,22-03-2015,23:00,2
direction,22-03-2015,23:00,240
speed,23-03-2015,02:00,2
direction,23-03-2015,02:00,140
speed,23-03-2015,05:00,2.5
direction,23-03-2015,05:00,120
speed,23-03-2015,08:00,1.5
direction,23-03-2015,08:00,120
speed,23-03-2015,11:00,3
direction,23-03-2015,11:00,310
speed,23-03-2015,14:00,5
direction,23-03-2015,14:00,340
speed,23-03-2015,17:00,7
direction,23-03-2015,17:00,360
speed,23-03-2015,20:00,7
direction,23-03-2015,20:00,20
speed,23-03-2015,23:00,1.5
direction,23-03-2015,23:00,100
speed,24-03-2015,02:00,2.5
direction,24-03-2015,02:00,50
speed,24-03-2015,05:00,1
direction,24-03-2015,05:00,120
speed,24-03-2015,08:00,2.5
direction,24-03-2015,08:00,10
speed,24-03-2015,11:00,6
direction,24-03-2015,11:00,360
speed,24-03-2015,14:00,8
direction,24-03-2015,14:00,360
speed,24-03-2015,17:00,7.5
direction,24-03-2015,17:00,360
speed,24-03-2015,20:00,4.5
direction,24-03-2015,20:00,20
speed,24-03-2015,23:00,3
direction,24-03-2015,23:00,60
speed,25-03-2015,02:00,3
direction,25-03-2015,02:00,50
speed,25-03-2015,05:00,1.5
direction,25-03-2015,05:00,110
speed,25-03-2015,08:00,2.5
direction,25-03-2015,08:00,10
speed,25-03-2015,11:00,9.5
direction,25-03-2015,11:00,360
speed,25-03-2015,14:00,11.5
direction,25-03-2015,14:00,360
speed,25-03-2015,17:00,10.5
direction,25-03-2015,17:00,360
speed,25-03-2015,20:00,10.5
direction,25-03-2015,20:00,10
speed,25-03-2015,23:00,7
direction,25-03-2015,23:00,30
speed,26-03-2015,02:00,1
direction,26-03-2015,02:00,60
speed,26-03-2015,05:00,2.5
direction,26-03-2015,05:00,40
speed,26-03-2015,08:00,4.5
direction,26-03-2015,08:00,80
speed,26-03-2015,11:00,4
direction,26-03-2015,11:00,90
speed,26-03-2015,14:00,8.5
direction,26-03-2015,14:00,360
speed,26-03-2015,17:00,10
direction,26-03-2015,17:00,10
speed,26-03-2015,20:00,1.5
direction,26-03-2015,20:00,40
speed,26-03-2015,23:00,2.5
direction,26-03-2015,23:00,80
speed,27-03-2015,02:00,4.5
direction,27-03-2015,02:00,70
speed,27-03-2015,05:00,5
direction,27-03-2015,05:00,60
speed,27-03-2015,08:00,6
direction,27-03-2015,08:00,70
speed,27-03-2015,11:00,5
direction,27-03-2015,11:00,100
speed,27-03-2015,14:00,6
direction,27-03-2015,14:00,100
speed,27-03-2015,17:00,4.5
direction,27-03-2015,17:00,70
speed,27-03-2015,20:00,4.5
direction,27-03-2015,20:00,70
speed,27-03-2015,23:00,4
direction,27-03-2015,23:00,100
speed,28-03-2015,02:00,3.5
direction,28-03-2015,02:00,110
speed,28-03-2015,05:00,5
direction,28-03-2015,05:00,90
speed,28-03-2015,08:00,3
direction,28-03-2015,08:00,80
speed,28-03-2015,11:00,3
direction,28-03-2015,11:00,220
speed,28-03-2015,14:00,2
direction,28-03-2015,14:00,210
speed,28-03-2015,17:00,4
direction,28-03-2015,17:00,20
speed,28-03-2015,20:00,2
direction,28-03-2015,20:00,20
speed,28-03-2015,23:00,1.5
direction,28-03-2015,23:00,30
speed,29-03-2015,02:00,3.5
direction,29-03-2015,02:00,30
speed,29-03-2015,05:00,3.5
direction,29-03-2015,05:00,70
speed,29-03-2015,08:00,2
direction,29-03-2015,08:00,10
speed,29-03-2015,11:00,5.5
direction,29-03-2015,11:00,320
speed,29-03-2015,14:00,2.5
direction,29-03-2015,14:00,310
speed,29-03-2015,17:00,3
direction,29-03-2015,17:00,280
speed,29-03-2015,20:00,7.5
direction,29-03-2015,20:00,320
speed,29-03-2015,23:00,1.5
direction,29-03-2015,23:00,100
speed,30-03-2015,02:00,2
direction,30-03-2015,02:00,160
speed,30-03-2015,05:00,2.5
direction,30-03-2015,05:00,140
speed,30-03-2015,08:00,5
direction,30-03-2015,08:00,190
speed,30-03-2015,11:00,5
direction,30-03-2015,11:00,230
speed,30-03-2015,14:00,6.5
direction,30-03-2015,14:00,260
speed,30-03-2015,17:00,6.5
direction,30-03-2015,17:00,280
speed,30-03-2015,20:00,4.5
direction,30-03-2015,20:00,270
speed,30-03-2015,23:00,3
direction,30-03-2015,23:00,260
speed,31-03-2015,02:00,4
direction,31-03-2015,02:00,230
speed,31-03-2015,05:00,4.5
direction,31-03-2015,05:00,150
speed,31-03-2015,08:00,6.5
direction,31-03-2015,08:00,180
speed,31-03-2015,11:00,6.5
direction,31-03-2015,11:00,210
speed,31-03-2015,14:00,5
direction,31-03-2015,14:00,240
speed,31-03-2015,17:00,4
direction,31-03-2015,17:00,190
speed,31-03-2015,20:00,2
direction,31-03-2015,20:00,100
speed,31-03-2015,23:00,2
direction,31-03-2015,23:00,190
speed,01-04-2015,02:00,6
direction,01-04-2015,02:00,220
speed,01-04-2015,05:00,5.5
direction,01-04-2015,05:00,240
speed,01-04-2015,08:00,4.5
direction,01-04-2015,08:00,250
speed,01-04-2015,11:00,3.5
direction,01-04-2015,11:00,280
speed,01-04-2015,14:00,3
direction,01-04-2015,14:00,230
speed,01-04-2015,17:00,4
direction,01-04-2015,17:00,230
speed,01-04-2015,20:00,3.5
direction,01-04-2015,20:00,250
speed,01-04-2015,23:00,3
direction,01-04-2015,23:00,280
speed,02-04-2015,02:00,2
direction,02-04-2015,02:00,230
speed,02-04-2015,05:00,3
direction,02-04-2015,05:00,220
speed,02-04-2015,08:00,4.5
direction,02-04-2015,08:00,190
speed,02-04-2015,11:00,4.5
direction,02-04-2015,11:00,230
speed,02-04-2015,14:00,5.5
direction,02-04-2015,14:00,280
speed,02-04-2015,17:00,4.5
direction,02-04-2015,17:00,330
speed,02-04-2015,20:00,1.5
direction,02-04-2015,20:00,100
speed,02-04-2015,23:00,2.5
direction,02-04-2015,23:00,100
speed,03-04-2015,02:00,2
direction,03-04-2015,02:00,80
speed,03-04-2015,05:00,2
direction,03-04-2015,05:00,70
speed,03-04-2015,08:00,0.5
direction,03-04-2015,08:00,40
speed,03-04-2015,11:00,1.5
direction,03-04-2015,11:00,310
speed,03-04-2015,14:00,2
direction,03-04-2015,14:00,280
speed,03-04-2015,17:00,4.5
direction,03-04-2015,17:00,240
speed,03-04-2015,20:00,3.5
direction,03-04-2015,20:00,260
speed,03-04-2015,23:00,3.5
direction,03-04-2015,23:00,290
speed,04-04-2015,02:00,3
direction,04-04-2015,02:00,260
speed,04-04-2015,05:00,4.5
direction,04-04-2015,05:00,270
speed,04-04-2015,08:00,4.5
direction,04-04-2015,08:00,290
speed,04-04-2015,11:00,4.5
direction,04-04-2015,11:00,310
speed,04-04-2015,14:00,3.5
direction,04-04-2015,14:00,280
speed,04-04-2015,17:00,4
direction,04-04-2015,17:00,270
speed,04-04-2015,20:00,2.5
direction,04-04-2015,20:00,280
speed,04-04-2015,23:00,3
direction,04-04-2015,23:00,320
speed,05-04-2015,02:00,1
direction,05-04-2015,02:00,80
speed,05-04-2015,05:00,1.5
direction,05-04-2015,05:00,120
speed,05-04-2015,08:00,1.5
direction,05-04-2015,08:00,110
speed,05-04-2015,11:00,5
direction,05-04-2015,11:00,300
speed,05-04-2015,14:00,7.5
direction,05-04-2015,14:00,340
speed,05-04-2015,17:00,7.5
direction,05-04-2015,17:00,350
speed,05-04-2015,20:00,5.5
direction,05-04-2015,20:00,10
speed,05-04-2015,23:00,6.5
direction,05-04-2015,23:00,360
speed,06-04-2015,02:00,0.5
direction,06-04-2015,02:00,140
speed,06-04-2015,05:00,0.5
direction,06-04-2015,05:00,120
speed,06-04-2015,08:00,0.5
direction,06-04-2015,08:00,350
speed,06-04-2015,11:00,6
direction,06-04-2015,11:00,350
speed,06-04-2015,14:00,8.5
direction,06-04-2015,14:00,350
speed,06-04-2015,17:00,11
direction,06-04-2015,17:00,360
speed,06-04-2015,20:00,7.5
direction,06-04-2015,20:00,360
speed,06-04-2015,23:00,1
direction,06-04-2015,23:00,130
speed,07-04-2015,02:00,3
direction,07-04-2015,02:00,130
speed,07-04-2015,05:00,2
direction,07-04-2015,05:00,130
speed,07-04-2015,08:00,2.5
direction,07-04-2015,08:00,170
speed,07-04-2015,11:00,4
direction,07-04-2015,11:00,240
speed,07-04-2015,14:00,0.5
direction,07-04-2015,14:00,320
speed,07-04-2015,17:00,2
direction,07-04-2015,17:00,180
speed,07-04-2015,20:00,1
direction,07-04-2015,20:00,220
speed,07-04-2015,23:00,1
direction,07-04-2015,23:00,100
speed,08-04-2015,02:00,0
direction,08-04-2015,02:00,0
speed,08-04-2015,05:00,1.5
direction,08-04-2015,05:00,150
speed,08-04-2015,08:00,1
direction,08-04-2015,08:00,60
speed,08-04-2015,11:00,3
direction,08-04-2015,11:00,10
speed,08-04-2015,14:00,3
direction,08-04-2015,14:00,350
speed,08-04-2015,17:00,2.5
direction,08-04-2015,17:00,360
speed,08-04-2015,20:00,0.5
direction,08-04-2015,20:00,310
speed,08-04-2015,23:00,4
direction,08-04-2015,23:00,140
speed,09-04-2015,02:00,2
direction,09-04-2015,02:00,50
speed,09-04-2015,05:00,7
direction,09-04-2015,05:00,260
speed,09-04-2015,08:00,5
direction,09-04-2015,08:00,260
speed,09-04-2015,11:00,7
direction,09-04-2015,11:00,250
speed,09-04-2015,14:00,8.5
direction,09-04-2015,14:00,280
speed,09-04-2015,17:00,6.5
direction,09-04-2015,17:00,270
speed,09-04-2015,20:00,6.5
direction,09-04-2015,20:00,280
speed,09-04-2015,23:00,5
direction,09-04-2015,23:00,270
speed,10-04-2015,02:00,3.5
direction,10-04-2015,02:00,250
speed,10-04-2015,05:00,4
direction,10-04-2015,05:00,250
speed,10-04-2015,08:00,6.5
direction,10-04-2015,08:00,170
speed,10-04-2015,11:00,6
direction,10-04-2015,11:00,190
speed,10-04-2015,14:00,7.5
direction,10-04-2015,14:00,240
speed,10-04-2015,17:00,5.5
direction,10-04-2015,17:00,240
speed,10-04-2015,20:00,6.5
direction,10-04-2015,20:00,240
speed,10-04-2015,23:00,7
direction,10-04-2015,23:00,230
speed,11-04-2015,02:00,9.5
direction,11-04-2015,02:00,210
speed,11-04-2015,05:00,9.5
direction,11-04-2015,05:00,150
speed,11-04-2015,08:00,7.5
direction,11-04-2015,08:00,160
speed,11-04-2015,11:00,7.5
direction,11-04-2015,11:00,200
speed,11-04-2015,14:00,4.5
direction,11-04-2015,14:00,280
speed,11-04-2015,17:00,5.5
direction,11-04-2015,17:00,280
speed,11-04-2015,20:00,2.5
direction,11-04-2015,20:00,90
speed,11-04-2015,23:00,4.5
direction,11-04-2015,23:00,160
speed,12-04-2015,02:00,6
direction,12-04-2015,02:00,150
speed,12-04-2015,05:00,3
direction,12-04-2015,05:00,150
speed,12-04-2015,08:00,3
direction,12-04-2015,08:00,70
speed,12-04-2015,11:00,7
direction,12-04-2015,11:00,150
speed,12-04-2015,14:00,9.5
direction,12-04-2015,14:00,230
speed,12-04-2015,17:00,7
direction,12-04-2015,17:00,220
speed,12-04-2015,20:00,7.5
direction,12-04-2015,20:00,330
speed,12-04-2015,23:00,5.5
direction,12-04-2015,23:00,270
speed,13-04-2015,02:00,8.5
direction,13-04-2015,02:00,290
speed,13-04-2015,05:00,7
direction,13-04-2015,05:00,270
speed,13-04-2015,08:00,6.5
direction,13-04-2015,08:00,240
speed,13-04-2015,11:00,7
direction,13-04-2015,11:00,240
speed,13-04-2015,14:00,7.5
direction,13-04-2015,14:00,230
speed,13-04-2015,17:00,6
direction,13-04-2015,17:00,240
speed,13-04-2015,20:00,5
direction,13-04-2015,20:00,250
speed,13-04-2015,23:00,4
direction,13-04-2015,23:00,260
speed,14-04-2015,02:00,3
direction,14-04-2015,02:00,150
speed,14-04-2015,05:00,4
direction,14-04-2015,05:00,150
speed,14-04-2015,08:00,3.5
direction,14-04-2015,08:00,180
speed,14-04-2015,11:00,3
direction,14-04-2015,11:00,290
speed,14-04-2015,14:00,4.5
direction,14-04-2015,14:00,330
speed,14-04-2015,17:00,7.5
direction,14-04-2015,17:00,360
speed,14-04-2015,20:00,4.5
direction,14-04-2015,20:00,40
speed,14-04-2015,23:00,1.5
direction,14-04-2015,23:00,80
speed,15-04-2015,02:00,1.5
direction,15-04-2015,02:00,90
speed,15-04-2015,05:00,3
direction,15-04-2015,05:00,70
speed,15-04-2015,08:00,4.5
direction,15-04-2015,08:00,40
speed,15-04-2015,11:00,11
direction,15-04-2015,11:00,360
speed,15-04-2015,14:00,12
direction,15-04-2015,14:00,350
speed,15-04-2015,17:00,12
direction,15-04-2015,17:00,350
speed,15-04-2015,20:00,8
direction,15-04-2015,20:00,360
speed,15-04-2015,23:00,2
direction,15-04-2015,23:00,60
speed,16-04-2015,02:00,1
direction,16-04-2015,02:00,110
speed,16-04-2015,05:00,1
direction,16-04-2015,05:00,110
speed,16-04-2015,08:00,3.5
direction,16-04-2015,08:00,230
speed,16-04-2015,11:00,3
direction,16-04-2015,11:00,230
